URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/start/ueber-uns/chronik, Number of Outlinks: 40
URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/start/suche, Number of Outlinks: 40
URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/impressum, Number of Outlinks: 40
URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/datenschutz, Number of Outlinks: 40
URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/inhaltsuebersicht, Number of Outlinks: 40
URL: https://www.elitenetzwerk.bayern.de/elitenetzwerk-home/elitenetzwerk-home/kontakt, Number of Outlinks: 40
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=change&type=6&moduleParameter=semesterSelect&nextdir=change&next=SearchSelect.vm&subdir=applications&targettype=7&targetstate=change&getglobal=semester, Number of Outlinks: 7
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=user&type=5&language=en, Number of Outlinks: 3
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=user&type=0&topitem=&breadCrumbSource=&topitem=functions, Number of Outlinks: 0
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wlogin&login=in&breadCrumbSource=, Number of Outlinks: 0
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=user&type=0&topitem=, Number of Outlinks: 0
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&P.vx=mittel&root120212=1&trex=step, Number of Outlinks: 23
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&P.vx=lang&root120212=1&trex=step, Number of Outlinks: 22
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=UeberschriftDetail&publishConfFile=ueberschrift&publishSubDir=ueberschrift&keep=y&publishid=1&fachrichtung=$fach, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&trex=step&root120212=1&P.vx=kurz, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=UeberschriftDetail&publishConfFile=ueberschrift&publishSubDir=ueberschrift&keep=y&publishid=564582&fachrichtung=$fach, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&trex=step&root120212=1%7C564582&P.vx=kurz, Number of Outlinks: 50
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=UeberschriftDetail&publishConfFile=ueberschrift&publishSubDir=ueberschrift&keep=y&publishid=566233&fachrichtung=$fach, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&trex=step&root120212=1%7C566233&P.vx=kurz, Number of Outlinks: 12
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=UeberschriftDetail&publishConfFile=ueberschrift&publishSubDir=ueberschrift&keep=y&publishid=568681&fachrichtung=$fach, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&trex=step&root120212=1%7C568681&P.vx=kurz, Number of Outlinks: 13
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=UeberschriftDetail&publishConfFile=ueberschrift&publishSubDir=ueberschrift&keep=y&publishid=564878&fachrichtung=$fach, Number of Outlinks: 1
URL: https://lsf.verwaltung.uni-muenchen.de/qisserver/rds?state=wtree&search=1&trex=step&root120212=1%7C564878&P.vx=kurz, Number of Outlinks: 6
